PSS	Panini Special Sticker	Panini Special Sticker (PSS)
521	1976 Československo	Uefa European Championship History
522	1976 Československo	Uefa European Championship History
523	1980 Deutschland-BRD	Uefa European Championship History
524	1980 Deutschland-BRD	Uefa European Championship History
525	1984 France	Uefa European Championship History
526	1984 France	Uefa European Championship History
527	1988 Nederland	Uefa European Championship History
528	1988 Nederland	Uefa European Championship History
529	1992 Danmark	Uefa European Championship History
530	1992 Danmark	Uefa European Championship History
531	1996 Deutschland	Uefa European Championship History
532	1996 Deutschland	Uefa European Championship History
533	2000 France	Uefa European Championship History
534	2000 France	Uefa European Championship History
535	2004 Hellas	Uefa European Championship History
536	2004 Hellas	Uefa European Championship History
537	2008 España	Uefa European Championship History
538	2008 España	Uefa European Championship History
539	2008 España	Uefa European Championship History
